Beijing National Stadium	/m/05y3q4	2008 Summer Olympics	Athletics at the 2008 Summer Olympics - Men's discus throw,Swimming at the 2008 Summer Olympics - Men's 4 x 100 metre medley relay,Athletics at the 2008 Summer Olympics - Men's 400 metre hurdles,Athletics at the 2008 Summer Olympics - Women's 400 metres,Athletics at the 2008 Summer Olympics - Women's 100 metres hurdles,Athletics at the 2008 Summer Olympics - Women's 4x400 metre relay,Athletics at the 2008 Summer Olympics - Women's triple jump,Athletics at the 2008 Summer Olympics - Men's 3000 metre steeplechase,Athletics at the 2008 Summer Olympics - Men's 20 km walk,Athletics at the 2008 Summer Olympics - Men's shot put,Athletics at the 2008 Summer Olympics - Women's 800 metres,Athletics at the 2008 Summer Olympics - Men's 4x400 metre relay,Athletics at the 2008 Summer Olympics - Men's hammer throw,Gymnastics at the 2008 Summer Olympics – Women's artistic individual all-around,Athletics at the 2008 Summer Olympics - Men's 1500 metres,Athletics at the 2008 Summer Olympics - Women's 100 metres,Athletics at the 2008 Summer Olympics - Men's 10000 metres,Athletics at the 2008 Summer Olympics - Women's 10000 metres,Athletics at the 2008 Summer Olympics - Women's 3000 metre steeplechase,Athletics at the 2008 Summer Olympics - Men's long jump,Athletics at the 2008 Summer Olympics - Women's DiscusThrow,Athletics at the 2008 Summer Olympics - Women's shot put,Athletics at the 2008 Summer Olympics - Men's 4x100 metre relay,Athletics at the 2008 Summer Olympics - Women's pole vault,Athletics at the 2008 Summer Olympics - Women's 4x100 metre relay,Athletics at the 2008 Summer Olympics - Men's 100 metres,Athletics at the 2008 Summer Olympics - Men's high jump,Athletics at the 2008 Summer Olympics - Women's heptathlon,Athletics at the 2008 Summer Olympics - Women's marathon	
E Center	/m/063r13	2002 Winter Olympics		
Allphones Arena	/m/0br7cn	2000 Summer Olympics		
Whistler Olympic Celebration Plaza	/m/06vyxxt	2010 Winter Olympics		
The Copper Box	/m/04jdj11	2012 Summer Olympics	Handball at the 2012 Summer Olympics – Men's tournament,Handball at the 2012 Summer Olympics – Women's tournament,Modern pentathlon at the 2012 Summer Olympics – Men's,Modern pentathlon at the 2012 Summer Olympics – Women's	
Richmond Olympic Oval	/m/0bmdzm	2010 Winter Olympics	Speed skating at the 2010 Winter Olympics – Women's team pursuit,Speed skating at the 2010 Winter Olympics – Men's team pursuit,Speed skating at the 2010 Winter Olympics – Women's 1000 metres,Speed skating at the 2010 Winter Olympics – Men's 10000 metres,Speed skating at the 2010 Winter Olympics – Men's 500 metres,Speed skating at the 2010 Winter Olympics – Women's 1500 metres,Speed skating at the 2010 Winter Olympics – Men's 1500 metres,Speed skating at the 2010 Winter Olympics – Men's 1000 metres,Short track speed skating at the 2010 Winter Olympics – Men's 5000 metre relay,Speed skating at the 2010 Winter Olympics – Women's 3000 metres,Speed skating at the 2010 Winter Olympics – Women's 500 metres,Speed skating at the 2010 Winter Olympics – Women's 5000 metres	
Penrith Whitewater Stadium	/m/09d7vx	2000 Summer Olympics		
Centennial Olympic Stadium	/m/064ghx	1996 Summer Olympics		
Olympic Sports Centre Gymnasium	/m/0dcgxv			
Stadio Olimpico	/m/05xtmj	1960 Summer Olympics		
Sydney International Aquatic Centre	/m/0gjnmt	2000 Summer Olympics		
Golden Park	/m/06_pcp	1996 Summer Olympics		
Georgia Tech Aquatic Center	/m/0f0750	1996 Summer Olympics		
Tianjin Olympic Centre Stadium	/m/0djxks			
Palacio Municipal de Deportes de Badalona	/m/0dt36v			
State Hockey Centre	/m/0bt2t1	2000 Summer Olympics		
Olympic Green Convention Centre	/m/0d775m		Fencing at the 2008 Summer Olympics - Men's team sabre	
Georgia World Congress Center	/m/02wl1b	1996 Summer Olympics		
Faliro Coastal Zone Olympic Complex	/m/03qdzd	2004 Summer Olympics	Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball	
Rogers Arena	/m/038hp1	2010 Winter Olympics	Ice hockey at the 2010 Winter Olympics – Men's tournament,Ice hockey at the 2010 Winter Olympics – Women's tournament	
Horse Guards Parade	/m/02l0mh	2012 Summer Olympics	Beach volleyball at the 2012 Summer Olympics – Women's tournament,Beach volleyball at the 2012 Summer Olympics – Men's tournament	
Druzhba Multipurpose Arena	/m/025vj3x			
Yoyogi National Gymnasium	/m/07h74l			
All England Lawn Tennis and Croquet Club	/m/05fk8z	2012 Summer Olympics	Tennis at the 2012 Summer Olympics - Women's Doubles,Tennis at the 2012 Summer Olympics - Mixed Doubles,Tennis at the 2012 Summer Olympics - Women's Singles,Tennis at the 2012 Summer Olympics - Men's Singles,Tennis at the 2012 Summer Olympics - Men's Doubles	
Hampton Court Palace	/m/0dx9r	2012 Summer Olympics	Cycling at the 2012 Summer Olympics – Women's road time trial,Cycling at the 2012 Summer Olympics – Men's road time trial	
Beihang University Gymnasium	/m/0gjvc7			
Utah Olympic Park	/m/02prkj2	2002 Winter Olympics		
Vélodrome de Vincennes	/m/06sc9l	1900 Summer Olympics	Cricket at the 1900 Summer Olympics,Cycling at the 1924 Summer Olympics – Men's tandem	
