	/m/07hs062	United States of America	Swimming at the 1968 Summer Olympics – Men's 100 metre butterfly	Bronze medal	Ross Elliott Wales	1968 Summer Olympics
	/m/07nn8wv	Soviet Union	Swimming at the 1980 Summer Olympics - Men's 400 metre individual medley	Gold medal	Aleksandr Sidorenko	1980 Summer Olympics
	/m/07npjw0	United States of America	Gymnastics at the 1904 Summer Olympics - Men's club swinging	Bronze medal	Ralph Wilson	1904 Summer Olympics
	/m/07n6s0z	Uganda	Boxing at the 1972 Summer Olympics - Flyweight	Silver medal	Leo Rwabwogo	1972 Summer Olympics
	/m/07nx96h	Denmark	Wrestling at the 1920 Summer Olympics - Men's Greco-Roman Light Heavyweight	Bronze medal	Johannes Eriksen	1920 Summer Olympics
	/m/07hs04p	United States of America	Swimming at the 1968 Summer Olympics – Men's 1500 metre freestyle	Silver medal	John Kinsella	1968 Summer Olympics
	/m/07nncv1	France	Athletics at the 1900 Summer Olympics - Men's 1500 metres	Silver medal	Henri Deloge	1900 Summer Olympics
	/m/07nvcm8	United Kingdom	Swimming at the 1980 Summer Olympics - Women's 400 metre Individual Medley	Silver medal	Sharron Davies	1980 Summer Olympics
	/m/07bt_tn	France	Cycling at the 2000 Summer Olympics - Men's cross-country	Gold medal	Miguel Martinez	2000 Summer Olympics
	/m/07ngprp	Hungary	Fencing at the 1928 Summer Olympics - Men's Sabre, Individual	Silver medal	Attila Petschauer	1928 Summer Olympics
	/m/0799zn_	China	Shooting at the 2004 Summer Olympics - Women's 50 metre rifle, three positions	Bronze medal	Chengyi Wang	2004 Summer Olympics
	/m/07nnfn5	United States of America	Athletics at the 1908 Summer Olympics - Men's 400 metre hurdles	Silver medal	Harry Hillman	1908 Summer Olympics
	/m/07n6tw6	United States of America	Athletics at the 1936 Summer Olympics – Men's decathlon	Silver medal	Robert Clark	1936 Summer Olympics
	/m/07ngsyj	Netherlands	Swimming at the 1936 Summer Olympics - Women's 100 metre backstroke	Silver medal	Rie Mastenbroek	1936 Summer Olympics
	/m/07nv7x0	Sweden	Equestrian at the 1924 Summer Olympics – Dressage, Individual	Gold medal	Ernst Linder	1924 Summer Olympics
	/m/07npkbf	German Democratic Republic	Canoeing at the 1980 Summer Olympics - Women's K-1 500 metres	Gold medal	Birgit Fischer	1980 Summer Olympics
	/m/07nnh33	Finland	Athletics at the 1924 Summer Olympics – Men's 10000 metres	Gold medal	Ville Ritola	1924 Summer Olympics
	/m/07fb_q9	New Zealand	Rowing at the 2000 Summer Olympics - Men's  Single Sculls	Gold medal	Rob Waddell	2000 Summer Olympics
	/m/07ncr6_	United Kingdom	Boxing at the 1948 Summer Olympics - Light Heavyweight	Silver medal	Donald Scott	1948 Summer Olympics
	/m/07fb_xq	Latvia	Judo at the 2000 Summer Olympics - Men's Lightweight (73kg)	Bronze medal	Vsevolods Zeļonijs	2000 Summer Olympics
	/m/07n72y0	Australia	Swimming at the 1972 Summer Olympics - Men's 400 metre freestyle	Gold medal	Brad Cooper	1972 Summer Olympics
	/m/07npksy	German Democratic Republic	Swimming at the 1980 Summer Olympics - Women's 100 metre backstroke	Bronze medal	Petra Riedel	1980 Summer Olympics
	/m/07nnmz4	Australasia	Swimming at the 1912 Summer Olympics - Women's 100 metre freestyle	Gold medal	Fanny Durack	1912 Summer Olympics
	/m/07nnswp	Sri Lanka	Athletics at the 1948 Summer Olympics – Men's 400 metre hurdles	Silver medal	Duncan White	1948 Summer Olympics
	/m/078nk_z	Brazil	Equestrian at the 2004 Summer Olympics - Jumping, Individual	Gold medal	Rodrigo Pessoa	2004 Summer Olympics
	/m/07j4swp	Japan	Shooting at the 1984 Summer Olympics - Men's 25 metre rapid fire pistol	Gold medal	Takeo Kamachi	1984 Summer Olympics
	/m/07hr9sd	United States of America	Equestrian at the 1968 Summer Olympics - Jumping, Individual	Gold medal	William Steinkraus	1968 Summer Olympics
	/m/07q981m	Norway	Ski Jumping at the 1948 Winter Olympics - Large Hill	Silver medal	Birger Ruud	1948 Winter Olympics
	/m/07nb5h4	United States of America	Diving at the 1920 Summer Olympics - Women's 3 metre springboard	Bronze medal	Thelma Payne	1920 Summer Olympics
	/m/07nb5fr	United States of America	Boxing at the 1920 Summer Olympics - Men's welterweight	Bronze medal	Frederick Colberg	1920 Summer Olympics
	/m/07nnq1m	Japan	Gymnastics at the 1956 Summer Olympics - Men's Floor Exercises	Silver medal	Nobuyuki Aihara	1956 Summer Olympics
	/m/07nb5b8	United States of America	Athletics at the 1920 Summer Olympics - Men's pole vault	Bronze medal	Edwin Myers	1920 Summer Olympics
	/m/07nb595	United States of America	Athletics at the 1920 Summer Olympics - Men's 3000 metre steeplechase	Silver medal	Patrick Flynn	1920 Summer Olympics
