Swimming at the 2008 Summer Olympics - Men's 400 metre individual medley	/m/04g7f8l	Men's 400m individual medley	Beijing National Aquatics Centre	/m/04gc8k6,/m/04gc8kh,/m/04gc8jy	2008 Summer Olympics
Gymnastics at the 1924 Summer Olympics - Men's parallel bars	/m/04cxc1v	Men's Parallel bars		/m/07tyl64,/m/07ty0kz,/m/07ty0rf	1924 Summer Olympics
Bobsleigh at the 1952 Winter Olympics - Four-man	/m/0413hfz				1952 Winter Olympics
Diving at the 2008 Summer Olympics - Women's Synchronised 10m Platform	/m/04gb_ly	Women's synchronized 10 metre platform	Beijing National Aquatics Centre	/m/04gb_s7,/m/04gb_r5,/m/04gb_rx	2008 Summer Olympics
Sailing at the 2012 Summer Olympics – Women's Laser Radial class	/m/0jwqzfj	Women's Laser Radial - One Person Dinghy		/m/0kv55wj,/m/0l5r9x9,/m/0lctc8s	2012 Summer Olympics
Fencing at the 2012 Summer Olympics - Women's team épée	/m/0jt4mm7	Women's Épée team	ExCeL Exhibition Centre	/m/0kxbjfr,/m/0kjtx0v,/m/0l71tl0	2012 Summer Olympics
Athletics at the 2012 Summer Olympics – Men's discus throw	/m/0jt9h58	Men's Discus throw	Olympic Stadium	/m/0lchm5t,/m/0l4l6b8,/m/0kmg315	2012 Summer Olympics
Weightlifting at the 2012 Summer Olympics – Women's 58 kg	/m/0j251r6	Women's Weightlifting, 58kg	ExCeL Exhibition Centre	/m/0kdsj62,/m/0lh4j3x,/m/0l4mfhp	2012 Summer Olympics
Athletics at the 2012 Summer Olympics – Women's 10,000 metres	/m/0jt1pz8	Women's Athletics, 10000m	Olympic Stadium	/m/0lf692s,/m/0l346xx,/m/0kl0446	2012 Summer Olympics
Fencing at the 2012 Summer Olympics - Men's team sabre	/m/0jt1zbl	Men's Sabre team	ExCeL Exhibition Centre	/m/0kw2r70,/m/0kw2r79,/m/0kl5shr	2012 Summer Olympics
Gymnastics at the 2012 Summer Olympics – Women's rhythmic group all-around	/m/0jt350h	Women's Rhythmic gymnastics, group competition	Wembley Arena	/m/0kw6s4t,/m/0ksp5x0,/m/0kw6s53	2012 Summer Olympics
Shooting at the 1964 summer Olympics - Men's 50 metre rifle, three positions	/m/07htv5j	Men's 50m rifle 3 positions		/m/07k7vkf,/m/07htv61,/m/07kk_3h	1964 Summer Olympics
Cycling at the 2000 Summer Olympics - Women's time trial	/m/07jy3v1	Women'sTrack Cycling,  Time Trial		/m/07bt_v5,/m/07jy3t_,/m/07bw0xn,/m/07bw1cw	2000 Summer Olympics
Athletics at the 1972 Summer Olympics - Women's Discus Throw	/m/07dtmbn	Women's Discus throw		/m/07n72_s,/m/07dtmcm,/m/07mf88h	1972 Summer Olympics
Gymnastics at the 1976 Summer Olympics – Women's Uneven Bars	/m/07kd3rj	Women's Uneven bars		/m/07yjb1q,/m/07yks20,/m/07yjb1z	1976 Summer Olympics
Gymnastics at the 1972 Summer Olympics – Women's balance beam	/m/07kjhk7	Women's Balance Beam		/m/07dtn3b,/m/07j06s4,/m/07dvpfn	1972 Summer Olympics
Biathlon at the 1998 Winter Olympics - Men's 20 km Individual	/m/06ts5n8	Men's 20 km Individual		/m/07t5dpd,/m/07t5dbp,/m/065w_22	1998 Winter Olympics
Judo at the 1984 Summer Olympics - Men's Extra Lightweight (-60kg)	/m/07cy9vr	Men's Judo, - 60 kg Men (extra lightweight)		/m/07j4stp,/m/07gz3j0,/m/07cy9w5,/m/07txgxp	1984 Summer Olympics
Cross Country Skiing at the 1960 Winter Olympics - Women's 10km	/m/07shbww	Women's 10 km		/m/07shbx3,/m/07shby3,/m/07shbxm	1960 Winter Olympics
Wrestling at the 1952 Summer Olympics - Men's Greco-Roman Light Heavyweight	/m/07vcy7z	Men's Greco-Roman Wrestling, Light Heavyweight 79-87kg		/m/07vcy86,/m/07vl4md,/m/07vqqzd	1952 Summer Olympics
Alpine Skiing at the 1994 Winter Olympics - Women's Downhill	/m/07t63gm	Women's Downhill		/m/07t63gw,/m/07v8sxm,/m/07t7gjx	1994 Winter Olympics
Boxing at the 1976 Summer Olympics - Featherweight	/m/07yj6sc	Men's Boxing, Featherweight 54 - 57 kg		/m/07yjc_k,/m/07yj9x2,/m/07yj6sm,/m/07ykrys	1976 Summer Olympics
Cross Country Skiing at the 1992 Winter Olympics - Men's 15km Pursuit	/m/07tg00w	Men's 15km Pursuit		/m/07tg1dp,/m/07vd3gg,/m/07tg013	1992 Winter Olympics
Swimming at the 1960 Summer Olympics – Men's 4 x 100 metre medley relay	/m/09gmhfz				
